Frequency (Hz)	Level (dB)
803.466797	-43.988831
804.199219	-44.845047
804.931641	-45.653530
805.664062	-44.762547
806.396484	-44.334400
807.128906	-44.427734
807.861328	-45.102154
808.593750	-45.100269
809.326172	-44.917927
810.058594	-43.945736
810.791016	-45.070118
811.523438	-44.434402
812.255859	-44.605343
812.988281	-44.036861
813.720703	-45.020363
814.453125	-44.744377
815.185547	-44.604862
815.917969	-44.223392
816.650391	-44.918697
817.382812	-45.264355
818.115234	-44.883354
818.847656	-44.559891
819.580078	-45.482143
820.312500	-46.112206
821.044922	-46.818947
821.777344	-44.517227
822.509766	-45.512016
823.242188	-43.750679
823.974609	-43.843975
824.707031	-44.089390
825.439453	-44.043648
826.171875	-42.171707
826.904297	-40.743916
827.636719	-42.060799
828.369141	-41.397877
829.101562	-41.432468
829.833984	-39.116081
830.566406	-40.018185
831.298828	-40.333351
832.031250	-40.423626
832.763672	-43.031204
833.496094	-42.866985
834.228516	-43.962887
834.960938	-42.009262
835.693359	-43.389881
836.425781	-43.556068
837.158203	-44.141972
837.890625	-45.416477
838.623047	-45.822598
839.355469	-44.229252
840.087891	-44.630192
840.820312	-44.675571
841.552734	-45.826778
842.285156	-45.624489
843.017578	-46.380962
843.750000	-47.251781
844.482422	-48.440514
845.214844	-47.618759
845.947266	-48.330780
846.679688	-47.394306
847.412109	-47.539654
848.144531	-48.196255
848.876953	-47.352722
849.609375	-47.806107
850.341797	-47.464157
851.074219	-47.523548
851.806641	-47.073975
852.539062	-48.594986
853.271484	-47.912800
854.003906	-49.367111
854.736328	-48.716278
855.468750	-49.442513
856.201172	-49.957630
856.933594	-49.706978
857.666016	-49.702080
858.398438	-50.453350
859.130859	-49.579208
859.863281	-49.515404
860.595703	-49.139336
861.328125	-48.675224
862.060547	-50.029209
862.792969	-50.459888
863.525391	-49.534859
864.257812	-49.825123
864.990234	-50.342026
865.722656	-50.187035
866.455078	-49.801189
867.187500	-49.724110
867.919922	-49.233315
868.652344	-48.996773
869.384766	-49.476101
870.117188	-49.952496
870.849609	-48.957825
871.582031	-49.059364
872.314453	-50.679146
873.046875	-49.575706
873.779297	-50.128994
874.511719	-50.232998
875.244141	-49.312382
875.976562	-49.137070
876.708984	-48.414131
877.441406	-48.332256
878.173828	-47.758900
878.906250	-48.324528
879.638672	-48.350624
880.371094	-48.001938
881.103516	-47.896275
881.835938	-49.231308
882.568359	-50.000645
883.300781	-49.663265
884.033203	-48.754120
884.765625	-48.327610
885.498047	-49.170727
886.230469	-49.351471
886.962891	-48.386715
887.695312	-49.715137
888.427734	-49.703564
889.160156	-49.863071
889.892578	-49.692818
890.625000	-49.081776
891.357422	-49.114216
892.089844	-48.770435
892.822266	-48.385445
893.554688	-48.104794
894.287109	-48.429295
895.019531	-49.002129
895.751953	-48.780319
896.484375	-48.785141
